FFFh,TOSU,,FDFh,INDF2,,FBFh,CCPR1H,,F9Fh,IPR1
FFEh,TOSH,,FDEh,POSTINC2,,FBEh,CCPR1L,,F9Eh,PIR1
FFDh,TOSL,,FDDh,POSTDEC2,,FBDh,CCP1CON,,F9Dh,PIE1
FFCh,STKPTR,,FDCh,PREINC2,,FBCh,CCPR2H,,F9Ch,
FFBh,PCLATU,,FDBh,PLUSW2,,FBBh,CCPR2L,,F9Bh,OSCTUNE
FFAh,PCLATH,,FDAh,FSR2H,,FBAh,CCP2CON,,F9Ah,
FF9h,PCL,,FD9h,FSR2L,,FB9h,,,F99h,
FF8h,TBLPTRU,,FD8h,STATUS,,FB8h,BAUDCON,,F98h,
FF7h,TBLPTRH,,FD7h,TMR0H,,FB7h,PWM1CON,,F97h,
FF6h,TBLPTRL,,FD6h,TMR0L,,FB6h,ECCP1AS,,F96h,TRISE
FF5h,TABLAT,,FD5h,T0CON,,FB5h,CVRCON,,F95h,TRISD
FF4h,PRODH,,FD4h,,,FB4h,CMCON,,F94h,TRISC
FF3h,PRODL,,FD3h,OSCCON,,FB3h,TMR3H,,F93h,TRISB
FF2h,INTCON,,FD2h,HLVDCON,,FB2h,TMR3L,,F92h,TRISA
FF1h,INTCON2,,FD1h,WDTCON,,FB1h,T3CON,,F91h,
FF0h,INTCON3,,FD0h,RCON,,FB0h,SPBRGH,,F90h,
FEFh,INDF0,,FCFh,TMR1H,,FAFh,SPBRG,,F8Fh,
FEEh,POSTINC0,,FCEh,TMR1L,,FAEh,RCREG,,F8Eh,
FEDh,POSTDEC0,,FCDh,T1CON,,FADh,TXREG,,F8Dh,LATE
FECh,PREINC0,,FCCh,TMR2,,FACh,TXSTA,,F8Ch,LATD
FEBh,PLUSW0,,FCBh,PR2,,FABh,RCSTA,,F8Bh,LATC
FEAh,FSR0H,,FCAh,T2CON,,FAAh,,,F8Ah,LATB
FE9h,FSR0L,,FC9h,SSPBUF,,FA9h,EEADR,,F89h,LATA
FE8h,WREG,,FC8h,SSPADD,,FA8h,EEDATA,,F88h,
FE7h,INDF1,,FC7h,SSPSTAT,,FA7h,EECON2,,F87h,
FE6h,POSTINC1,,FC6h,SSPCON1,,FA6h,EECON1,,F86h,
FE5h,POSTDEC1,,FC5h,SSPCON2,,FA5h,,,F85h,
FE4h,PREINC1,,FC4h,ADRESH,,FA4h,,,F84h,PORTE
FE3h,PLUSW1,,FC3h,ADRESL,,FA3h,,,F83h,PORTD
FE2h,FSR1H,,FC2h,ADCON0,,FA2h,IPR2,,F82h,PORTC
FE1h,FSR1L,,FC1h,ADCON1,,FA1h,PIR2,,F81h,PORTB
FE0h,BSR,,FC0h,ADCON2,,FA0h,PIE2,,F80h,PORTA
